train_name,relasi,class,tier,km,occupancy_pct,revenue,daily_revenue
GUMARANG,SBI-PSE,EKO,JAUH,719.0,80.2,14152320000.0,83248941.0
MADIUN JAYA,MN-PSE,EKS,JAUH,667.0,100.3,13681352000.0,40962132.0
ARGO LAWU LUXURY,GMR-SLO,EKS,JAUH,571.0,38.8,13658344000.0,37730232.0
MUTIARA TIMUR,SBI-KTG,EKO,SEDANG,312.0,83.4,13560654000.0,37152477.0
MADIUN JAYA,PSE-MN,EKS,JAUH,667.0,84.4,13498831000.0,40415662.0
PROBOWANGI,SGU-KTG,EKO,SEDANG,306.0,179.9,13415283000.0,36754200.0
BATAVIA,SLO-GMR,EKS,JAUH,571.0,63.7,13387470000.0,63749857.0
PANGANDARAN,GMR-BJR,EKS,SEDANG,325.0,132.2,13366885000.0,36621603.0
KERTANEGARA,PWT-ML,EKS,JAUH,559.0,71.8,13321133000.0,36496255.0
MUTIARA TIMUR,KTG-SBI,EKO,SEDANG,312.0,75.4,13305614000.0,36453737.0
GAJAYANA TAMBAHAN,ML-GMR,EKS,JAUH,905.0,83.6,13298865000.0,177318200.0
ARGO DWIPANGGA LUXURY,SLO-GMR,EKS,JAUH,571.0,37.0,13221490000.0,36422837.0
KAMANDAKA,SMT-KYA-CP,EKO,SEDANG,305.0,141.5,13182986000.0,36117770.0
BOGOWONTO,LPN-PSE,EKS,JAUH,512.0,83.8,13139720000.0,35999233.0
ARGO SEMERU COMPARTMENT,GMR-SGU,EKS,JAUH,821.0,141.5,12968130000.0,35626731.0
GAJAHWONG,PSE-LPN,EKS,JAUH,512.0,63.6,12924653000.0,35410008.0
PROBOWANGI,KTG-SGU,EKO,SEDANG,306.0,171.2,12838035000.0,35172699.0
SANCAKA UTARA,CP-SLO-GBN-SBI,EKO,JAUH,504.0,91.8,12650354000.0,42308876.0
ARGO BROMO ANGGREK COMPARTMENT,GMR-SBI,EKS,JAUH,720.0,80.2,12312723000.0,29108092.0
TAWANGJAYA PREMIUM,PSE-SMT,EKS,SEDANG,439.0,64.1,12197295000.0,36518847.0
ARGO SEMERU COMPARTMENT,SGU-GMR,EKS,JAUH,821.0,132.5,12114730000.0,33282225.0
PAPANDAYAN,GMR-GRT,EKO,SEDANG,247.0,114.9,12093447000.0,33132732.0
ARGO BROMO ANGGREK COMPARTMENT,SBI-GMR,EKS,JAUH,720.0,78.1,11962675000.0,28213856.0
MUTIARA TIMUR,KTG-SBI,EKS,SEDANG,312.0,67.7,11949410000.0,32738110.0
MENOREH,PSE-SMT,EKS,SEDANG,439.0,68.7,11906279000.0,35647542.0
CIKURAY,GRT-PSE,EKO,SEDANG,245.0,153.2,11865109000.0,32507148.0
CIKURAY,PSE-GRT,EKO,SEDANG,245.0,146.6,11819191000.0,32381345.0
IJEN EKSPRES,ML-BG-KTG,EKO,SEDANG,312.0,94.0,11656755000.0,35005270.0
CAKRABUANA,PWT-GMR,EKS,SEDANG,345.0,79.9,11608321000.0,34859823.0
PANGANDARAN,BJR-GMR,EKS,SEDANG,325.0,116.4,11465684000.0,31412833.0
TAWANGJAYA PREMIUM,SMT-PSE,EKS,SEDANG,439.0,56.9,11090571000.0,30385126.0
IJEN EKSPRES,KTG-BG-ML,EKO,SEDANG,312.0,87.5,10875326000.0,32560856.0
SINDANG MARGA,KPT-LLG,BIS,SEDANG,305.0,109.5,10859260000.0,29751397.0
SENJA UTAMA YK,PSE-YK,EKS,JAUH,511.0,67.0,10789710000.0,29560849.0
SRIBILAH UTAMA,MDN-RAP,EKO,SEDANG,268.0,85.9,10736358000.0,14277072.0
TEGAL BAHARI,TG-PSE,BIS,SEDANG,289.0,74.3,10720849000.0,57950535.0
PAPANDAYAN,GRT-GMR,EKS,SEDANG,247.0,117.1,10714658000.0,29355227.0
BIMA COMPARTMENT,SGU-GMR,EKS,JAUH,821.0,106.7,10661170000.0,29208685.0
MALIOBORO EKSPRES,ML-PWT,EKS,JAUH,559.0,49.5,10590775000.0,29015822.0
CAKRABUANA,CN-GMR,EKO,SEDANG,214.0,72.0,10505415000.0,31453338.0
KALIGUNG,CNP-SMC,EKO,SEDANG,222.0,77.6,10503495000.0,28776699.0
SINDANG MARGA,LLG-KPT,BIS,SEDANG,305.0,103.4,10442224000.0,28608833.0
BOGOWONTO,PSE-LPN,EKS,JAUH,512.0,66.2,10393301000.0,28474797.0
PARAHYANGAN,BD-GMR,EKO,SEDANG,169.0,70.4,10350296000.0,15517685.0
ARGO ANGGREK LUXURY SLEEPER,GMR-SBI,EKS,JAUH,720.0,65.3,10161250000.0,31753906.0
SRIBILAH UTAMA,RAP-MDN,EKO,SEDANG,268.0,83.0,10049472000.0,13381454.0
KA TAMBAHAN PSE SLO,PSE-SLO,EKO,JAUH,570.0,84.2,9998832000.0,142840457.0
CIREMAI,BD-CKP-SMT,EKS,JAUH,451.0,58.6,9997892000.0,27391485.0
RAJABASA,TNK-KPT,EKO,SEDANG,388.0,155.8,9923410000.0,27187425.0
KAMANDAKA,SMT-TG-PWT,EKS,SEDANG,244.0,42.6,9902044000.0,13564444.0
RAJABASA,KPT-TNK,EKO,SEDANG,388.0,155.1,9890087000.0,27096129.0
GAJAYANA LUXURY,GMR-ML,EKS,JAUH,905.0,80.1,9872194000.0,31845787.0
CIREMAI,SMT-CKP-BD,EKS,JAUH,451.0,52.8,9828081000.0,26926249.0
CAKRABUANA,GMR-PWT,EKS,SEDANG,345.0,69.0,9814258000.0,29384006.0
ARGO ANGGREK LUXURY SLEEPER,SBI-GMR,EKS,JAUH,720.0,63.0,9806325000.0,30837500.0
BIMA COMPARTMENT,GMR-SGU,EKS,JAUH,821.0,102.7,9718580000.0,26626247.0
KA BIAS,MN-SMO,LOK EKO,DEKAT,110.0,109.4,9608212000.0,6872827.0
TEGAL BAHARI,PSE-TG,BIS,SEDANG,289.0,67.4,9490006000.0,51297330.0
GUNUNGJATI,CN-GMR,EKO,SEDANG,214.0,61.4,9033416000.0,27127375.0
KA BIAS,SMO-MN,LOK EKO,DEKAT,110.0,103.8,8854545000.0,6338257.0
GAJAYANA LUXURY,ML-GMR,EKS,JAUH,905.0,72.9,8761529000.0,28539182.0
CAKRABUANA,GMR-CN,EKO,SEDANG,214.0,59.5,8693094000.0,26105387.0
